	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0072364382	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	0.0	0.0	0.0	1857.0	0.0	0.0	0.0	0.0	2152.0	0.0	R30	2016-05-10	non_curated
MODEL0318212660	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	41.0	L2V1	41.0	55.0	0.0	41.0	0.0	0.0	0.0	0.0	15.0	0.0	R30	2016-05-10	non_curated
MODEL0393108880	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	86.0	156.0	0.0	0.0	86.0	0.0	69.0	17.0	0.0	21.0	R30	2016-05-10	non_curated
MODEL0403888565	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	805.0	805.0	L2V1	815.0	46.0	1076.0	805.0	10.0	0.0	9.0	1.0	377.0	0.0	R30	2016-05-10	non_curated
MODEL0403928902	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	805.0	805.0	L2V1	815.0	46.0	1076.0	805.0	10.0	0.0	9.0	1.0	377.0	0.0	R30	2016-05-10	non_curated
MODEL0403954746	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	805.0	805.0	L2V1	815.0	46.0	1076.0	805.0	10.0	0.0	9.0	1.0	377.0	0.0	R30	2016-05-10	non_curated
MODEL0403988150	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	806.0	806.0	L2V1	816.0	46.0	1078.0	806.0	10.0	0.0	9.0	1.0	377.0	0.0	R30	2016-05-10	non_curated
MODEL0404023805	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	806.0	806.0	L2V1	816.0	46.0	1078.0	806.0	10.0	0.0	9.0	1.0	377.0	0.0	R30	2016-05-10	non_curated
MODEL0406151557	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	64.0	122.0	0.0	0.0	64.0	0.0	49.0	15.0	0.0	16.0	R30	2016-05-10	non_curated
MODEL0406270966	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	99.0	153.0	0.0	0.0	99.0	0.0	81.0	18.0	0.0	23.0	R30	2016-05-10	non_curated
MODEL0406553884	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	166.0	217.0	0.0	0.0	166.0	0.0	125.0	41.0	0.0	38.0	R30	2016-05-10	non_curated
MODEL0406793751	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	213.0	298.0	0.0	0.0	213.0	0.0	158.0	55.0	0.0	39.0	R30	2016-05-10	non_curated
MODEL0478740924	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	20.0	44.0	0.0	0.0	20.0	0.0	15.0	5.0	0.0	6.0	R30	2016-05-10	non_curated
MODEL0478895291	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	25.0	71.0	0.0	0.0	25.0	0.0	9.0	16.0	0.0	6.0	R30	2016-05-10	non_curated
MODEL0479527919	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	L2V3	39.0	72.0	0.0	0.0	39.0	0.0	31.0	8.0	0.0	13.0	R30	2016-05-10	non_curated
