time	MKKK	MKKK_P	MKK	MKK_P	MKK_PP	MAPK	MAPK_P	MAPK_PP
0.0	90.0	10.0	280.0	10.0	10.0	280.0	10.0	10.0
15.0	77.0	23.0	277.0	17.0	6.0	280.0	13.0	7.0
30.0	61.0	39.0	266.0	25.0	9.0	276.0	17.0	7.0
45.0	50.0	50.0	258.0	29.0	13.0	277.0	16.0	7.0
60.0	26.0	74.0	236.0	42.0	22.0	271.0	23.0	6.0
75.0	18.0	82.0	216.0	49.0	35.0	264.0	24.0	12.0
90.0	13.0	87.0	198.0	57.0	45.0	263.0	19.0	18.0
105.0	7.0	93.0	172.0	68.0	60.0	243.0	30.0	27.0
120.0	8.0	92.0	150.0	62.0	88.0	222.0	35.0	43.0
135.0	10.0	90.0	130.0	72.0	98.0	197.0	35.0	68.0
150.0	15.0	85.0	109.0	79.0	112.0	166.0	44.0	90.0
165.0	17.0	83.0	91.0	79.0	130.0	138.0	50.0	112.0
180.0	20.0	80.0	73.0	84.0	143.0	104.0	56.0	140.0
195.0	25.0	75.0	62.0	81.0	157.0	59.0	49.0	192.0
210.0	34.0	66.0	46.0	90.0	164.0	23.0	42.0	235.0
225.0	39.0	61.0	45.0	81.0	174.0	3.0	26.0	271.0
240.0	40.0	60.0	37.0	78.0	185.0	1.0	5.0	294.0
255.0	43.0	57.0	29.0	87.0	184.0	1.0	3.0	296.0
270.0	47.0	53.0	23.0	84.0	193.0	0.0	0.0	300.0
285.0	49.0	51.0	21.0	74.0	205.0	0.0	0.0	300.0
300.0	51.0	49.0	17.0	69.0	214.0	0.0	0.0	300.0
315.0	56.0	44.0	19.0	65.0	216.0	0.0	2.0	298.0
330.0	59.0	41.0	15.0	70.0	215.0	0.0	4.0	296.0
345.0	61.0	39.0	19.0	57.0	224.0	0.0	0.0	300.0
360.0	63.0	37.0	21.0	51.0	228.0	0.0	1.0	299.0
375.0	64.0	36.0	17.0	54.0	229.0	0.0	1.0	299.0
390.0	64.0	36.0	18.0	55.0	227.0	0.0	0.0	300.0
405.0	68.0	32.0	22.0	37.0	241.0	0.0	2.0	298.0
420.0	70.0	30.0	25.0	36.0	239.0	1.0	0.0	299.0
435.0	71.0	29.0	26.0	32.0	242.0	0.0	1.0	299.0
450.0	75.0	25.0	35.0	32.0	233.0	0.0	0.0	300.0
465.0	77.0	23.0	35.0	42.0	223.0	0.0	1.0	299.0
480.0	83.0	17.0	40.0	38.0	222.0	0.0	1.0	299.0
495.0	86.0	14.0	45.0	39.0	216.0	0.0	1.0	299.0
510.0	88.0	12.0	49.0	40.0	211.0	1.0	0.0	299.0
525.0	89.0	11.0	48.0	39.0	213.0	0.0	1.0	299.0
540.0	90.0	10.0	48.0	45.0	207.0	0.0	3.0	297.0
555.0	91.0	9.0	60.0	39.0	201.0	0.0	0.0	300.0
570.0	92.0	8.0	65.0	40.0	195.0	0.0	1.0	299.0
585.0	93.0	7.0	67.0	40.0	193.0	0.0	2.0	298.0
600.0	95.0	5.0	78.0	34.0	188.0	0.0	3.0	297.0
615.0	96.0	4.0	82.0	37.0	181.0	0.0	1.0	299.0
630.0	94.0	6.0	88.0	45.0	167.0	0.0	2.0	298.0
645.0	93.0	7.0	98.0	46.0	156.0	1.0	7.0	292.0
