	compartments	constraints	events	events_delay	events_event_assignments	events_math	events_priority	events_trigger	function_definitions	initial_assignments	kinetic_laws	kinetic_laws_math	level_version	math	parameters	parameters_local	reactions	rules	rules_algebraic_rules	rules_assignment_rules	rules_rate_rules	species	unit_definitions	release	date	status
MODEL0072364382	15	0	0	0	0	0	0	0	0	0	0	0	L2V4	0	0	0	1857	0	0	0	0	2152	0	R16	2010-01-26	non_curated
MODEL0393108880	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	86	156	0	0	86	0	69	17	0	21	R16	2010-01-26	non_curated
MODEL0403888565	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R16	2010-01-26	non_curated
MODEL0403928902	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R16	2010-01-26	non_curated
MODEL0403954746	1	0	0	0	0	0	0	0	0	0	805	805	L2V1	815	46	1076	805	10	0	9	1	377	0	R16	2010-01-26	non_curated
MODEL0403988150	1	0	0	0	0	0	0	0	0	0	806	806	L2V1	816	46	1078	806	10	0	9	1	377	0	R16	2010-01-26	non_curated
MODEL0404023805	1	0	0	0	0	0	0	0	0	0	806	806	L2V1	816	46	1078	806	10	0	9	1	377	0	R16	2010-01-26	non_curated
MODEL0406151557	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	64	122	0	0	64	0	49	15	0	16	R16	2010-01-26	non_curated
MODEL0406270966	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	99	153	0	0	99	0	81	18	0	23	R16	2010-01-26	non_curated
MODEL0406553884	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	166	217	0	0	166	0	125	41	0	38	R16	2010-01-26	non_curated
MODEL0406793751	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	213	298	0	0	213	0	158	55	0	39	R16	2010-01-26	non_curated
MODEL0478740924	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	20	44	0	0	20	0	15	5	0	6	R16	2010-01-26	non_curated
MODEL0478895291	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	25	71	0	0	25	0	9	16	0	6	R16	2010-01-26	non_curated
MODEL0478965170	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	11	49	0	0	11	0	1	10	0	6	R16	2010-01-26	non_curated
MODEL0479527919	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	39	72	0	0	39	0	31	8	0	13	R16	2010-01-26	non_curated
MODEL0479926177	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	4	11	0	0	4	0	1	3	0	3	R16	2010-01-26	non_curated
MODEL0491199816	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	21	63	0	0	21	0	15	6	0	11	R16	2010-01-26	non_curated
MODEL0491251823	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	15	35	0	0	15	0	1	14	0	4	R16	2010-01-26	non_curated
MODEL0568648427	3	0	0	0	0	0	0	0	0	0	0	0	L2V3	0	0	0	33	0	0	0	0	33	0	R16	2010-01-26	non_curated
MODEL0847712949	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	106	195	0	0	106	0	79	27	0	17	R16	2010-01-26	non_curated
MODEL0847869198	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	97	163	0	0	97	0	66	31	0	20	R16	2010-01-26	non_curated
MODEL0847999575	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	379	494	0	0	379	0	312	67	0	41	R16	2010-01-26	non_curated
MODEL0848062679	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	29	80	0	0	29	0	16	13	0	11	R16	2010-01-26	non_curated
MODEL0848116681	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	134	191	0	0	134	0	105	29	0	19	R16	2010-01-26	non_curated
MODEL0848279215	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	251	346	0	0	251	0	148	103	0	4	R16	2010-01-26	non_curated
MODEL0848342500	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	65	121	0	0	65	0	59	6	0	15	R16	2010-01-26	non_curated
MODEL0848444339	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	61	119	0	0	61	0	46	15	0	17	R16	2010-01-26	non_curated
MODEL0848507209	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	6	12	0	0	6	0	1	5	0	8	R16	2010-01-26	non_curated
MODEL0848676877	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	8	19	0	0	8	0	4	4	0	6	R16	2010-01-26	non_curated
MODEL0909931851	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	6	13	0	0	6	0	5	1	0	2	R16	2010-01-26	non_curated
MODEL0910130001	7	0	0	0	0	0	0	0	0	0	14	14	L2V4	23	28	0	14	9	0	9	0	9	2	R16	2010-01-26	non_curated
MODEL0910130003	1	0	0	0	0	0	0	0	0	0	13	13	L2V4	19	45	0	13	6	0	6	0	19	0	R16	2010-01-26	non_curated
MODEL0910846879	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	10	20	0	0	10	0	9	1	0	1	R16	2010-01-26	non_curated
MODEL0910896131	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	2	8	0	0	2	0	0	2	0	1	R16	2010-01-26	non_curated
MODEL0910928451	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	15	25	0	0	15	0	14	1	0	1	R16	2010-01-26	non_curated
MODEL0911047946	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	15	24	0	0	15	0	13	2	0	21	R16	2010-01-26	non_curated
MODEL0911091440	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	16	24	0	0	16	0	14	2	0	1	R16	2010-01-26	non_curated
MODEL0911120000	3	0	4	4	4	12	0	4	0	0	18	18	L2V4	42	45	0	18	12	0	12	0	9	0	R16	2010-01-26	non_curated
MODEL0911169699	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	12	22	0	0	12	0	9	3	0	1	R16	2010-01-26	non_curated
MODEL0911202318	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	7	14	0	0	7	0	5	2	0	1	R16	2010-01-26	non_curated
MODEL0911231713	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	5	14	0	0	5	0	2	3	0	1	R16	2010-01-26	non_curated
MODEL0911270001	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	14	35	0	0	14	0	10	4	0	7	R16	2010-01-26	non_curated
MODEL0911270002	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	10	32	0	0	10	0	7	3	0	5	R16	2010-01-26	non_curated
MODEL0911270004	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	3	14	0	0	3	0	0	3	0	5	R16	2010-01-26	non_curated
MODEL0911270005	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	25	56	0	0	25	0	23	2	0	0	R16	2010-01-26	non_curated
MODEL0911270006	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	5	10	0	0	5	0	5	0	0	0	R16	2010-01-26	non_curated
MODEL0911270007	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	25	43	0	0	25	0	10	15	0	4	R16	2010-01-26	non_curated
MODEL0911270008	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	2	7	0	0	2	0	0	2	0	1	R16	2010-01-26	non_curated
MODEL0911272039	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	7	14	0	0	7	0	6	1	0	1	R16	2010-01-26	non_curated
MODEL0911309080	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	11	23	0	0	11	0	10	1	0	1	R16	2010-01-26	non_curated
MODEL0911342562	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	12	27	0	0	12	0	10	2	0	1	R16	2010-01-26	non_curated
MODEL0911376350	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	13	29	0	0	13	0	12	1	0	1	R16	2010-01-26	non_curated
MODEL0911532520	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	2	8	0	0	2	0	0	2	0	4	R16	2010-01-26	non_curated
MODEL0911601070	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	90	241	0	0	90	0	75	15	0	12	R16	2010-01-26	non_curated
MODEL0911665321	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	65	145	0	0	65	0	52	13	0	18	R16	2010-01-26	non_curated
MODEL0911929415	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	3	7	0	0	3	0	1	2	0	3	R16	2010-01-26	non_curated
MODEL0911989198	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	12	40	0	0	12	0	9	3	0	10	R16	2010-01-26	non_curated
MODEL0912044015	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	35	84	0	0	35	0	27	8	0	14	R16	2010-01-26	non_curated
MODEL0912096133	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	9	42	0	0	9	0	4	5	0	7	R16	2010-01-26	non_curated
MODEL0912153452	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	122	214	0	0	122	0	103	19	0	30	R16	2010-01-26	non_curated
MODEL0912160000	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	33	57	0	0	33	0	28	5	0	0	R16	2010-01-26	non_curated
MODEL0912160001	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	15	26	0	0	15	0	11	4	0	0	R16	2010-01-26	non_curated
MODEL0912160003	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	76	147	0	0	76	0	64	12	0	17	R16	2010-01-26	non_curated
MODEL0912160004	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	133	243	0	0	133	0	77	56	0	27	R16	2010-01-26	non_curated
MODEL0912160005	1	0	0	0	0	0	0	0	0	0	0	0	L2V4	12	21	0	0	12	0	9	3	0	0	R16	2010-01-26	non_curated
MODEL0912388235	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	9	26	0	0	9	0	6	3	0	7	R16	2010-01-26	non_curated
MODEL0912452142	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	6	17	0	0	6	0	3	3	0	7	R16	2010-01-26	non_curated
MODEL0912503622	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	70	132	0	0	70	0	52	18	0	13	R16	2010-01-26	non_curated
MODEL0912768548	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	66	128	0	0	66	0	50	16	0	17	R16	2010-01-26	non_curated
MODEL0912835813	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	16	46	0	0	16	0	3	13	0	13	R16	2010-01-26	non_curated
MODEL0912887467	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	97	149	0	0	97	0	70	27	0	22	R16	2010-01-26	non_curated
MODEL0912940495	1	0	0	0	0	0	0	0	0	0	0	0	L2V3	112	157	0	0	112	0	83	29	0	24	R16	2010-01-26	non_curated
