time	[Ac]	[Glcxt]	[O2]	[X]	[dummy_S]	dummy_vAc	dummy_vGlcxt	dummy_vO2	dummy_vX	fba__v1	fba__v2	fba__v3	fba__v4	update__update_Ac	update__update_Glcxt	update__update_O2	update__update_X	bounds__Km_vGlcxt	bounds__Vmax_vGlcxt	bounds__dt	bounds__lb_def_vAc	bounds__lb_def_vGlcxt	bounds__lb_def_vO2	bounds__lb_def_vX	bounds__ub_def_vAc	bounds__ub_def_vGlcxt	bounds__ub_def_vO2	bounds__ub_def_vX	bounds__ub_kin_vGlcxt	dt	fba__lb	fba__lb_irrev	fba__ub	lb_vAc	lb_vGlcxt	lb_vO2	lb_vX	ub_vAc	ub_vGlcxt	ub_vO2	ub_vX	update__Km_vFBA	update__Y	vAc	vGlcxt	vO2	vX
0.0	0.4	10.8	0.21	0.001	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.195198019802	0.000952380952381	0.000998151571165	0.000913043478261	0.001	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791955617	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.1	0.0	4.0	14.9791955617	2.1	0.01	0.02	0.001	0.0	3.75365792079	2.1	0.255198019802
0.1	0.399899800431	10.7998949843	0.20990394046	0.00110521018125	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.195198019802	0.00105256856627	0.00110316725905	0.00100906479296	0.00110521018125	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791953597	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.0990394046	0.0	3.99899800431	14.9791953597	2.0990394046	0.0110521018125	0.02	0.00110521018125	0.0	3.75365792079	2.1	0.255198019802
0.2	0.399789060257	10.7997789199	0.209797778947	0.00122148952529	0.0	0.0	0.0	0.0	0.0	0.0599725544171	0.0	0.0	0.195108731078	0.00116329412951	0.00121923164269	0.00111517957478	0.00122148952529	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791951364	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.09797778947	0.0	3.99789060257	14.9791951364	2.09797778947	0.0122148952529	0.02	0.00122148952529	0.0	3.75194089863	2.0990394046	0.255081285495
0.3	0.399666670812	10.7996506443	0.209680453623	0.00135000261867	0.0	0.0	0.0	0.0	0.0	0.0599422225563	0.0	0.0	0.195010052425	0.00128566571929	0.00134750715433	0.00123244776388	0.00135000261867	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791948897	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.09680453623	0.0	3.99666670812	14.9791948897	2.09680453623	0.0135000261867	0.02	0.00135000261867	0.0	3.75004330814	2.09797778947	0.254952274982
0.4	0.399531406852	10.7995088729	0.209550791157	0.00149203657408	0.0	0.0	0.0	0.0	0.0	0.0599087010353	0.0	0.0	0.19490099685	0.00142090785524	0.00148927852546	0.00136204037005	0.00149203657408	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791946169	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.09550791157	0.0	3.99531406852	14.9791946169	2.09550791157	0.0149203657408	0.02	0.00149203657408	0.0	3.74794616942	2.09680453623	0.254809697885
0.5	0.399381914312	10.7993521858	0.209407495038	0.00164901392132	0.0	0.0	0.0	0.0	0.0	0.0598716546161	0.0	0.0	0.194780473722	0.00157037371939	0.00164596565393	0.00150525105768	0.00164901392132	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791943155	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.09407495038	0.0	3.99381914312	14.9791943155	2.09407495038	0.0164901392132	0.02	0.00164901392132	0.0	3.74562850968	2.09550791157	0.254652128338
0.6	0.399216696769	10.7991790135	0.209249132685	0.00182250685452	0.0	0.0	0.0	0.0	0.0	0.059830712868	0.0	0.0	0.19464727792	0.00173555865477	0.00181913782467	0.00166350892653	0.00182250685452	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791939823	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.09249132685	0.0	3.99216696769	14.9791939823	2.09249132685	0.0182250685452	0.02	0.00182250685452	0.0	3.74306715439	2.09407495038	0.254477990788
0.7	0.399034100486	10.7989876219	0.2090741212	0.00201425297833	0.0	0.0	0.0	0.0	0.0	0.0597854664816	0.0	0.0	0.194500077836	0.00191811507567	0.00201052942665	0.00183839260897	0.00201425297833	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791936141	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.090741212	0.0	3.99034100486	14.9791936141	2.090741212	0.0201425297833	0.02	0.00201425297833	0.0	3.74023649678	2.09249132685	0.254285544317
0.8	0.398832297891	10.7987760939	0.208880711645	0.00222617271075	0.0	0.0	0.0	0.0	0.0	0.0597354632001	0.0	0.0	0.194337402144	0.00211986893609	0.00222205732341	0.00203164581552	0.00222617271075	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791932071	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.08880711645	0.0	3.98832297891	14.9791932071	2.08880711645	0.0222617271075	0.02	0.00222617271075	0.0	3.73710824322	2.090741212	0.254072865344
0.9	0.398609269322	10.7985423111	0.208666971685	0.0024603885169	0.0	0.0	0.0	0.0	0.0	0.0596802033271	0.0	0.0	0.19415762518	0.00234283791794	0.00245584005104	0.00224519447302	0.0024603885169	0.015	15.0	0.1	0.0	0.0	-1000.0	0.0	1000.0	10.0	15.0	1000.0	14.9791927572	0.1	-1000.0	0.0	1000.0	0.0	0.0	-2.08666971685	0.0	3.98609269322	14.9791927572	2.08666971685	0.024603885169	0.02	0.0024603885169	0.0	3.73365113222	2.08880711645	0.253837828507
