time	[A]	[C]	[D]	[dummy_S]	[fba__A]	[fba__B1]	[fba__B2]	[fba__C]	EX_A	EX_C	R4	fba__R1	fba__R2	fba__R3	update__update_A	update__update_C	bounds__k1	bounds__lb_default	dt	fba__ub_default	fba__zero	k_R4	lb_EX_A	lb_EX_C	pEX_A	pEX_C	ub_EX_A	ub_EX_C	ub_R1
0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.0	1.0	1.0	1.0	1.0	-1.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-100.0	0.0	-1.0	1.0	1000.0	1000.0	1.0
5.0	5.0	3.93469773483	1.06530311704	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.393469773483	1.0	1.0	1.0	1.0	-1.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-50.0	-39.3469773483	-1.0	1.0	1000.0	1000.0	0.36787190953
10.0	3.44169137634e-15	6.32120998419	3.67879086767	0.0	0.0	0.0	0.0	0.0	-1.0	1.0	0.632120998419	1.0	1.0	1.0	1.0	-1.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-63.2120998419	-1.0	1.0	1000.0	1000.0	0.135331802149
15.0	3.44169137634e-15	3.8340084653	6.16599238656	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38340084653	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-38.340084653	0.0	0.0	1000.0	1000.0	0.0497856248151
20.0	3.44169137634e-15	2.32544601334	7.67455483852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.232544601334	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-23.2544601334	0.0	0.0	1000.0	1000.0	0.0183153650776
25.0	3.44169137634e-15	1.41045572769	8.58954512417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.141045572769	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-14.1045572769	0.0	0.0	1000.0	1000.0	0.00673794244399
30.0	3.44169137634e-15	0.855485507838	9.14451534402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0855485507838	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-8.55485507838	0.0	0.0	1000.0	1000.0	0.00247878602688
35.0	3.44169137634e-15	0.518878714485	9.48112213738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0518878714485	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-5.18878714485	0.0	0.0	1000.0	1000.0	0.000911907510787
40.0	3.44169137634e-15	0.314716167887	9.68528468397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0314716167887	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-3.14716167887	0.0	0.0	1000.0	1000.0	0.000335476852215
45.0	3.44169137634e-15	0.190885198969	9.80911565289	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0190885198969	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-1.90885198969	0.0	0.0	1000.0	1000.0	0.000123416821383
50.0	3.44169137634e-15	0.115777844221	9.88422300764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0115777844221	0.0	0.0	0.0	0.0	0.0	-0.2	-1000.0	0.1	1000.0	0.0	0.1	-3.44169137634e-14	-1.15777844221	0.0	0.0	1000.0	1000.0	4.54031747909e-05
